,Unnamed: 0,source_1,source_2,lon_1,lat_1,lon_2,lat_2,h_1,sigma_h1,h_2,sigma_h2,dh,sigma_dh,time_1,time_2,dt,dh_dx_1,dh_dx_2,dh_dy_1,dh_dy_2,distance_x,distance_y,window_1,window_2,rgt,spot_n,h1_arcticdem,h2_arcticdem,dh_arcticdem,distance,dem_slope,dh_minus_dem
36464,36464,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2922835,69.06206935,-151.2922701,69.0620687,204.0444641,0.018304555,204.0998688,0.050374061,0.055404663,0.053596667,2019.468732,2019.717552,0.248820112,-0.024111181,-0.016059875,-0.008172465,-0.009758897,-0.081209399,-0.536463743,3,3,1280,3,203.7050166,203.7172167,0.012200142,0.54257563,0.022485606,0.043204521
36465,36465,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2923427,69.06189118,-151.2923301,69.06189058,203.7954254,0.010488327,203.8378754,0.033372957,0.042449951,0.034982271,2019.468732,2019.717552,0.248820112,0.006152824,-0.002850354,-0.008930236,-0.009646783,-0.076045241,-0.502521048,3,3,1280,3,203.4562331,203.4667822,0.0105491,0.508242346,0.020756043,0.031900851
36466,36466,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.292402,69.06171303,-151.2923904,69.06171247,203.9665985,0.027623743,203.8994751,0.03482943,-0.067123413,0.044454025,2019.468732,2019.717552,0.248820112,0.013230681,0.010940254,-0.00627607,-0.008334936,-0.070784429,-0.462502823,3,3,1280,3,203.4499602,203.4493471,-0.000613121,0.467888124,-0.001310401,-0.066510292
36467,36467,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2924614,69.06153486,-151.2924508,69.06153434,204.0168457,0.032631159,203.8980713,0.041792419,-0.118774414,0.053022625,2019.468732,2019.717552,0.248820112,-0.006987393,-0.000424653,-0.002946867,-0.005534551,-0.064774009,-0.419043047,3,3,1280,3,203.4228047,203.4250349,0.002230155,0.424019749,0.005259555,-0.121004569
36468,36468,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2925211,69.06135671,-151.2925114,69.06135623,203.93013,0.018391019,203.9288635,0.045844469,-0.001266479,0.049395799,2019.468732,2019.717552,0.248820112,0.001347005,0.000882149,0.000295363,-0.000643439,-0.060512112,-0.385169621,3,3,1280,3,203.4080159,203.4183901,0.010374217,0.389894027,0.026607786,-0.011640696
36469,36469,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2925811,69.0611786,-151.2925722,69.06117816,204.0916748,0.027137669,204.0234528,0.088178687,-0.068222046,0.092260142,2019.468732,2019.717552,0.248820112,0.011181951,0.011745214,0.002356917,3.40E+38,-0.055779245,-0.355147133,3,3,1280,3,203.5920257,203.5917908,-0.000234891,0.359500779,-0.000653381,-0.067987155
36470,36470,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2926413,69.06100046,-151.2926334,69.06100006,204.1037598,0.022360049,204.0375519,0.084853828,-0.066207886,0.087750464,2019.468732,2019.717552,0.248820112,-0.019234143,-0.011621118,0.002620026,0.001956394,-0.049300812,-0.313505688,3,3,1280,3,203.5573825,203.5583138,0.000931328,0.317358451,0.002934625,-0.067139214
36471,36471,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2927015,69.06082233,-151.2926948,69.06082199,203.7857666,0.011549346,203.9195404,0.023007523,0.133773804,0.025743611,2019.468732,2019.717552,0.248820112,-0.00385274,-0.009405285,-0.00444729,-8.86E-05,-0.043011772,-0.267721394,3,3,1280,3,203.4663431,203.4647401,-0.001603029,0.27115449,-0.005911866,0.135376833
36472,36472,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2927618,69.06064423,-151.292756,69.06064392,203.7600403,0.006485075,203.8126831,0.008554966,0.052642822,0.010735159,2019.468732,2019.717552,0.248820112,-0.00061807,0.001511142,-0.004192015,-0.003078932,-0.038093647,-0.231255842,3,3,1280,3,203.2513621,203.2536611,0.002299019,0.234372333,0.009809259,0.050343803
36473,36473,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.292822,69.06046609,-151.2928169,69.06046581,203.8775024,0.011837402,203.870224,0.014991767,-0.007278442,0.019101758,2019.468732,2019.717552,0.248820112,0.011164337,0.003549635,-0.002076913,-0.00454345,-0.034430895,-0.203582381,3,3,1280,3,203.3894492,203.3861934,-0.003255825,0.206473418,-0.015768737,-0.004022617
36474,36474,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2928822,69.06028797,-151.2928774,69.0602877,204.0524292,0.058901627,204.0362549,0.053432882,-0.016174316,0.079526565,2019.468732,2019.717552,0.248820112,0.001070052,0.011809707,-0.00052508,-0.003053124,-0.032697409,-0.191368554,3,3,1280,3,203.6263423,203.6231021,-0.003240248,0.194141814,-0.016690109,-0.012934068
36475,36475,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2929422,69.06010985,-151.2929376,69.06010959,203.7716064,0.01834996,203.9000397,0.039929405,0.128433228,0.043944037,2019.468732,2019.717552,0.248820112,-0.011315137,-0.014131963,-0.003799261,-0.004191088,-0.031748259,-0.183548752,3,3,1280,3,203.5634684,203.564009,0.000540549,0.18627425,0.002901899,0.127892679
36476,36476,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2930021,69.05993169,-151.2929975,69.05993144,203.7537079,0.012649271,203.7301331,0.012967642,-0.023574829,0.018115292,2019.468732,2019.717552,0.248820112,0.013751835,0.004164338,-0.009716068,-0.007898903,-0.031529063,-0.18017567,3,3,1280,3,203.5028391,203.5016591,-0.001179972,0.182913515,-0.006450983,-0.022394857
